aisle_id,aisle
128,tortillas flat bread
67,fresh dips tapenades
105,doughs gelatins bake mixes
20,oral hygiene
43,buns rolls
61,cookies cakes
13,prepared meals
110,pickled goods olives
101,air fresheners candles
102,baby bath body care
45,candy chocolate
41,cat food care
28,red wines
48,breakfast bars pastries
74,dish detergents
32,packaged produce
84,milk
5,marinades meat preparation
65,protein meal replacements
98,juice nectars
85,food storage
27,beers coolers
17,baking ingredients
19,oils vinegars
11,cold flu allergy
111,plates bowls cups flatware
46,mint gum
12,fresh pasta
52,frozen breakfast
94,tea
123,packaged vegetables fruits
126,feminine care
37,ice cream ice
1,prepared soups salads
68,bulk grains rice dried goods
56,diapers wipes
25,soap
57,granola
118,first aid
125,trail mix snack mix
16,fresh herbs
82,baby accessories
86,eggs
23,popcorn jerky
120,yogurt
69,soup broth bouillon
133,muscles joints pain relief
31,refrigerated
119,frozen dessert
66,asian foods
10,kitchen supplies
34,frozen meat seafood
70,digestion
26,coffee
79,frozen pizza
29,honeys syrups nectars
130,hot cereal pancake mixes
63,grains rice dried goods
97,baking supplies decor
54,paper goods
6,other
81,canned jarred vegetables
78,crackers
40,dog food care
50,fruit vegetable snacks
36,butter
35,poultry counter
90,cocoa drink mixes
8,bakery desserts
44,eye ear care
71,refrigerated pudding desserts
77,soft drinks
109,skin care
115,water seltzer sparkling water
9,pasta sauce
14,tofu meat alternatives
95,canned meat seafood
4,instant foods
18,bulk dried fruits vegetables
39,seafood counter
73,facial care
106,hot dogs bacon sausage
7,packaged meat
113,frozen juice
121,cereal
112,bread
55,shave needs
51,preserved dips spreads
99,canned fruit applesauce
47,vitamins supplements
96,lunch meat
62,white wines
132,beauty
80,deodorants
131,dry pasta
92,baby food formula
42,frozen vegan vegetarian
59,canned meals beans
91,soy lactosefree
49,packaged poultry
89,salad dressing toppings
116,frozen produce
58,frozen breads doughs
76,indian foods
33,kosher foods
129,frozen appetizers sides
60,trash bags liners
64,energy sports drinks
114,cleaning products
38,frozen meals
30,latino foods
108,other creams cheeses
127,body lotions soap
2,specialty cheeses
53,cream
22,hair care
3,energy granola bars
24,fresh fruits
104,spices seasonings
100,missing
117,nuts seeds dried fruit
88,spreads
124,spirits
75,laundry
87,more household
83,fresh vegetables
122,meat counter
134,specialty wines champagnes
21,packaged cheese
72,condiments
107,chips pretzels
15,packaged seafood
93,breakfast bakery
103,ice cream toppings
