order_id,product_id,add_to_cart_order,reordered
740068,21616,16,0
1360271,35503,5,1
3211401,5819,13,1
2931112,9387,3,0
1149035,8277,3,1
3125664,41065,9,1
565173,16521,6,1
2060207,5876,10,1
84143,890,5,1
33868,40332,2,1
1127149,13147,1,1
527827,47766,3,1
2330965,19057,12,1
2935626,29544,8,0
320118,36178,9,1
1042979,46202,3,1
2395285,20243,4,0
2198296,18531,6,1
1935757,5428,3,0
3068968,44473,4,1
301339,7948,1,1
87690,48385,4,1
1290458,21137,4,0
1082281,8518,6,0
2518707,1787,24,0
3359839,5479,1,1
3319341,22825,2,1
18872,44310,9,0
2560706,48166,16,1
1887316,13554,19,1
1741609,47966,2,0
214826,4367,1,0
2616509,42479,2,1
2858580,14947,1,1
957334,14449,1,0
2598000,41149,7,0
521555,20114,10,1
1461600,22142,16,1
305545,45066,1,1
1582242,42736,4,1
2502705,21137,22,0
1654086,10831,11,1
2484412,38748,34,0
1475139,15424,18,1
2100437,24852,2,1
1690207,29363,2,1
2783351,31506,4,1
1188773,5605,1,0
2506321,38340,23,0
243251,42828,8,0
1764570,24852,5,1
2856065,14211,6,1
2793241,4942,4,1
2556084,12357,15,0
3131404,4920,15,0
3369393,46266,13,0
1578835,12919,6,0
3110236,19966,1,0
2065902,47209,6,1
3274002,46047,7,1
1070051,3583,9,1
2485732,16797,12,1
1361998,47626,1,1
2200708,7781,8,1
1568973,26286,25,1
917811,33407,7,1
1912059,24838,8,1
857176,39332,7,1
1593998,3466,5,0
674592,27509,5,1
3179654,22935,27,0
1442099,21616,12,0
364731,3765,2,1
633174,42411,20,0
1314927,2979,6,1
757448,3583,32,1
1342655,38689,1,0
1482971,4920,11,1
1296698,34956,1,1
2122210,15398,2,0
1104355,38662,5,1
128876,13575,3,0
815417,9065,8,1
1916180,13563,13,0
88160,21709,12,1
16766,36011,4,0
2098882,47626,2,1
2430929,24964,20,1
1332066,41131,13,1
383775,5876,4,1
3234571,5205,4,0
1011998,47169,12,0
1421020,15613,18,0
318260,42557,19,0
1507461,27966,5,1
421736,45603,4,1
2581711,49235,1,0
814148,691,5,1
2090074,45345,46,0
838569,45066,2,1
408040,24658,18,0
3149610,29487,13,1
926028,21300,11,1
482628,14211,9,0
2279573,47209,5,1
2047043,8670,29,0
3362532,47626,6,1
3354114,17980,7,1
941444,33452,3,1
800785,20590,15,0
488718,11760,11,0
1674149,15290,10,1
244900,22719,8,0
880086,4660,4,1
2812194,23025,6,1
1520517,18656,17,0
2336844,47766,5,1
3209939,38772,8,1
1121517,39558,12,1
430402,27086,6,1
468265,4920,12,0
549,4142,1,1
2310572,19511,7,1
532627,11212,27,1
1911619,4781,5,0
2041266,29987,5,0
2922284,10644,14,1
827248,32655,3,1
1575227,10009,8,1
2980232,18441,11,1
1549065,7963,6,1
2525599,27336,6,0
1734329,12384,6,1
2639736,6873,1,0
1395737,18465,4,1
1895581,46047,3,1
480141,37111,10,0
3351354,15146,13,1
